name,path
eleventy,https://github.com/11ty/eleventy
Aloha-Editor,https://github.com/alohaeditor/Aloha-Editor
cesium,https://github.com/CesiumGS/cesium
apexcharts.js,https://github.com/apexcharts/apexcharts.js
dejavu,https://github.com/appbaseio/dejavu
mongoose,https://github.com/Automattic/mongoose
trix,https://github.com/basecamp/trix
bigbluebutton,https://github.com/bigbluebutton/bigbluebutton
bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue
bpmn-js,https://github.com/bpmn-io/bpmn-js
resolve,https://github.com/browserify/resolve
CodeceptJS,https://github.com/codeceptjs/CodeceptJS
codecombat,https://github.com/codecombat/codecombat
converse.js,https://github.com/conversejs/converse.js
coreui-free-react-admin-template,https://github.com/coreui/coreui-free-react-admin-template
countly-server,https://github.com/Countly/countly-server
DOMPurify,https://github.com/cure53/DOMPurify
cytoscape.js,https://github.com/cytoscape/cytoscape.js
d2-admin,https://github.com/d2-projects/d2-admin
dagre,https://github.com/dagrejs/dagre
dygraphs,https://github.com/danvk/dygraphs
iframe-resizer,https://github.com/davidjbradshaw/iframe-resizer
axe-core,https://github.com/dequelabs/axe-core
serverless-offline,https://github.com/dherault/serverless-offline
mpx,https://github.com/didi/mpx
docsify,https://github.com/docsifyjs/docsify
ember-cli,https://github.com/ember-cli/ember-cli
multer,https://github.com/expressjs/multer
ua-parser-js,https://github.com/faisalman/ua-parser-js
functions-samples,https://github.com/firebase/functions-samples
form-data,https://github.com/form-data/form-data
gantt,https://github.com/frappe/gantt
Micromodal,https://github.com/micromodal/Micromodal
relative-time-element,https://github.com/github/relative-time-element
workbox,https://github.com/GoogleChrome/workbox
habitica,https://github.com/HabitRPG/habitica
reveal.js,https://github.com/hakimel/reveal.js
handsontable,https://github.com/handsontable/handsontable
node-portfinder,https://github.com/http-party/node-portfinder
Flotr2,https://github.com/HumbleSoftware/Flotr2
jasmine,https://github.com/jasmine/jasmine
drawio-desktop,https://github.com/jgraph/drawio-desktop
two.js,https://github.com/jonobr1/two.js
mathjs,https://github.com/josdejong/mathjs
js.org,https://github.com/js-org/js.org
formBuilder,https://github.com/kevinchappell/formBuilder
qs,https://github.com/ljharb/qs
scratch-blocks,https://github.com/scratchfoundation/scratch-blocks
node-config,https://github.com/node-config/node-config
mailcow-dockerized,https://github.com/mailcow/mailcow-dockerized
bootbox,https://github.com/bootboxjs/bootbox
meteor,https://github.com/meteor/meteor
braces,https://github.com/micromatch/braces
moleculer,https://github.com/moleculerjs/moleculer
luxon,https://github.com/moment/luxon
pdf.js,https://github.com/mozilla/pdf.js
node-red,https://github.com/node-red/node-red
NodeBB,https://github.com/NodeBB/NodeBB
noVNC,https://github.com/novnc/noVNC
tabulator,https://github.com/olifolkerd/tabulator
metroui,https://github.com/olton/metroui
openlayers,https://github.com/openlayers/openlayers
openseadragon,https://github.com/openseadragon/openseadragon
iD,https://github.com/openstreetmap/iD
luci,https://github.com/openwrt/luci
orbitdb,https://github.com/orbitdb/orbitdb
treestyletab,https://github.com/piroor/treestyletab
engine,https://github.com/playcanvas/engine
plop,https://github.com/plopjs/plop
plotly.js,https://github.com/plotly/plotly.js
preact,https://github.com/preactjs/preact
prettier,https://github.com/prettier/prettier
p5.js,https://github.com/processing/p5.js
rabbitmq-server,https://github.com/rabbitmq/rabbitmq-server
nodemon,https://github.com/remy/nodemon
layui,https://github.com/layui/layui
vue-multiselect,https://github.com/shentao/vue-multiselect
amqplib,https://github.com/amqp-node/amqplib
svelte,https://github.com/sveltejs/svelte
webpack-encore,https://github.com/symfony/webpack-encore
commander.js,https://github.com/tj/commander.js
Ghost,https://github.com/TryGhost/Ghost
pm2,https://github.com/Unitech/pm2
supertest,https://github.com/forwardemail/supertest
kareem,https://github.com/mongoosejs/kareem
webpack,https://github.com/webpack/webpack
wekan,https://github.com/wekan/wekan
awesome-uses,https://github.com/wesbos/awesome-uses
Detox,https://github.com/wix/Detox
cryptpad,https://github.com/cryptpad/cryptpad
core-js,https://github.com/zloirock/core-js
